Time,rnti,SFN,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id
1665755676503,65535,9145,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665755676638,65535,9280,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665755676643,65535,9285,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665755676648,65535,9290,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665755676658,65535,9300,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665755676663,65535,9305,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665755676668,65535,9310,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665755676683,65535,9325,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665755676703,65535,9345,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665755676723,65535,9365,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665755676743,65535,9385,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665755676763,65535,9405,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665755676783,65535,9425,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665755676798,65535,9440,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665755676803,65535,9445,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665755676808,65535,9450,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665755676818,65535,9460,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665755676823,65535,9465,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665755676828,65535,9470,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665755676843,65535,9485,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665755676863,65535,9505,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665755676883,65535,9525,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665755676903,65535,9545,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665755676923,65535,9565,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665755676943,65535,9585,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665755676958,65535,9600,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665755676963,65535,9605,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665755676968,65535,9610,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665755676978,65535,9620,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665755676983,65535,9625,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665755676988,65535,9630,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665755677003,65535,9645,2.0,0.0,0.0,1,2,-2,144,-2,4,3
